2025-06-17 21:40:26,870 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5afc9de3: startup date [Tue Jun 17 21:40:26 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:40:26,872 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 21:40:26,883 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 21:43:33,052 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 21:40:26 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:43:33,052 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:43:33,052 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 21:43:33,052 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:43:33,052 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 21:43:54,484 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@74303dea: startup date [Tue Jun 17 21:43:54 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:43:54,484 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 21:43:54,495 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 21:49:22,532 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 21:43:54 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:49:22,533 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:49:22,533 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 21:49:22,533 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:49:22,533 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 21:49:43,708 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@34205b21: startup date [Tue Jun 17 21:49:43 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:49:43,709 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 21:49:43,722 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 21:54:05,444 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 21:49:43 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 21:54:05,444 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:54:05,445 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 21:54:05,445 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 21:54:05,445 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 21:54:26,743 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@daaf452: startup date [Tue Jun 17 21:54:26 UTC 2025]; parent: ApplicationContext 'daoContext'
